	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
무안하다	반갑게 맞이하러 나온 버선발이 무안했다.	무안했다	다행히도 그녀는 무안한 기색 없이 웃고 있었다. 	무안한	칼같이 거절당한 것이 무안하여 말조차 꺼내지 못했다. 	무안하여	기껏 편의를 봐준 것이 무안할 정도로 본인의 이익만을 노리곤 했다. 	무안할	주최자의 배려를 당연하게 여기는 무례한 참석자 덕분에 덩달아 내가 무안헀다. 	무안했다	자신의 어리석은 오라비를 제지하지 못한 것이 무안하였는지 나를 위로하기 시작했다. 	무안하였는지
미안하다	민하는 의도하지 않았더라도 누군가가 불편을 느끼는 데에 자신이 일조하여 미안하다고 느꼈다.	미안하다	미안한 기색이 없어 보이는 모습에 화가 치밀어 올랐다.	미안한	일전의 무례에 대해서는 미안하게 생각합니다. 무뚝뚝한 사과에 진정성이라고는 없었다.	미안하게	친구의 말을 듣기도 전에 멋대로 생각하고 오해한 것이 미안했다.	미안했다	거만한 그의 태도는 얼마 전까지만 해도 사과하겠다고 나를 기다리던 것과 달리 미안한 사람의 태도가 아니었다. 	미안한	미안한 기색과는 달리 행동에는 전혀 변화가 없었다. 	미안한
송구하다	화가 난 당신께 건넬 말이 없는 것이 참으로 송구하였습니다.	송구하였습니다.	분에 넘치는 제안에 송구한 마음을 갖지 않을 수 없었다. 	송구한	송구하오나 제1황자께서는 성군에 걸맞은 행보를 보이신 적이 없었던 것으로 사료됩니다.	송구하오나	과분한 하사품을 받기에는 소인이 송구하여 그러니 명령을 거두어주십시오. 	송구하여	의도치 않게 심부름을 시킨 것 같아 몹시 송구했다. 	송구했다	송구하오나 저는 명령을 받고 왔으니 수행하기 전에는 돌아갈 수 없습니다.	송구하오나
스산하다	사람이 죽어나갔다던 그 곳은 뺨에 스치는 바람조차 스산하였다. 	스산하였다	그 폐가는 5년밖에 되지 않았지만 스산한 분위기가 감돌았다. 	스산한	언제나 미소를 띠던 그가 웃음을 멈추자 어딘가 스산하게 느껴졌다. 	스산하게	검날이 바람을 베는 소리가 스산하게 울렸다. 	스산하게	바라보는 것만으로 충분히 스산한 폐가에 발을 들이는 상상만 해도 소름이 끼쳤다.	스산한	긴 세월 방치된 묘지는 망자들의 모임인 양 스산했다.	스산했다
심려하다	내가 눈 감기 전에는 네가 자립을 해야 할 텐데. 그 생각만으로 심려가 컸다. 	심려가 컸다	무례일 수 있겠으나 심려되어 안부를 여쭙니다. 평안하신지요.	심려되어	제 불찰로 심려를 끼쳐 드려 죄송합니다. 	심려	지금껏 부모님께 심려만 끼쳐 오다가 그제서야 효도를 할 수 있겠다며 들떠보였다. 	심려	행여나 내가 전사하더라도 모든 것은 나의 선택이었으니 심려하지 말았으면 한다. 	심려하지	심려가 서린 얼굴로 그저 고인의 사진을 쓰다듬을 뿐이었다.	심려
애달프다	사람을 살리는 직업은 죽음을 마주하는 것도 필연적인 일이다. 필연적이어서 더욱 애달프다.	애달프다	체념한 항해사의 애달픈 노래는 오직 바다 위에서만 흐르곤 했다. 	애달픈	애달픈 마음을 뒤로 하고 자리에서 느리게, 그러나 착실히 일어났다.	애달픈	그 포로는 마지막 편지라도 남길 수 있게 해달라며 애달프게 호소하였다. 	애달프게	떠돌기만 하는 강아지의 처지가 자신과 비슷해보여 더욱 애달팠다.	애달팠다	타국에서 만난 조국의 유물에는 우리 민족의 애달픔이 서려 있는 듯 했다. 	애달픔
애석하다	환경을 타고나지 못한 재능은 애석하다. 	애석하다	다시는 그 사람 앞에 가 사랑스럽게 바라볼 수 없다. 갈 곳 없는 애석한 마음이다. 	애석한	애석하게도 어두운 방에는 남아있는 온기라고는 없었다.	애석하게도	제 뜻대로 되지 않는 상황이 애석하였으나 시도할 만한 선택지가 없었다. 	애석하였으나	제 쓸모를 다하지 못해 버려진 애석한 도구들의 모임이었다,	애석한	대부분의 사람들과 달리 하루하루 생계를 걱정하는 자신의 처지가 애석하게 느껴졌다. 	애석하게
애증	일말의 대화도 없이 그저 확신을 요구하기만 하는 사랑에게 애증이 깊어 갔다.	애증이 깊어 갔다.	애증하는 당신께. 당신은 여전히 꿈을 좇고 있습니까. 	애증하는	나에게 그의 존재는 사랑보다 깊은 애증이었다. 	애증	우리는 킥킥대며 서로에 대한 애증을 이따금씩 털어놓곤 했다.	애증	그는 내가 자신을 애증한다고 말해도 나의 애정이 조금 더 우위에 있는 것을 잘 알고 있었다.	애증	애증의 대상이 눈 앞에 앉아있었고 감정은 날뛰었으며 나는 그 모든 것을 감추고 싶었다.	애증
애처럽다	쓰일 리 없는 검을 소중하게 관리하는 기사의 처지가 애처롭다. 	애처롭다	누군가의 애처로운 울음이 그 기사의 발걸음을 붙잡았다. 	애처로운	텅 빈 집에 들어가는 것이 두려워 밖을 하릴없이 맴도는 그녀는 누구보다도 부유하고 또 애처로워 보였다. 	애처로워	끅끅거리며 소리를 감추려는 울음이 애처로워 보였다.	애처로워	별은 애처로운 하늘에서 끊임없이 태양을 찾았다. 	애처로운	자신을 애처롭게 바라보는 사랑을 외면하여야 했다. 	애처롭게
애환	망국의 애환을 기억하는 자 누구인가.	애환	애환 섞인 강가 옆에는 낚시꾼들이 근심을 미끼 삼아 희망을 낚고 있다.	애환	그 작가는 기록으로서 삶의 애환을 남기고 있다. 	애환	고난과 애환을 겪을 때 마다 그 작가는 또 다른 소재가 생겼다며 씩 웃곤 했다.	애환	모든 애환을 안고 잠들었으나 평안하기만을 바랐다.	애환	이 작품에서 도망자였으나 한없이 유쾌한 그녀의 애환을 엿볼 수 있다. 	애환
어이없다	그런 헛소문에 나풀거리며 휘둘리는 사람들이 어이없었다. 	어이없었다	그 부조리하고 어이없는 요구를 당당하게 들이미는 모습에 기가 찼다. 	어이없는	집이 없어 떠돌이들의 모험. 어이없게도 그것이 위대한 여정의 시작이었다는 것은 당사자들의 비밀이었다. 	어이없게	나보다 더 심한 상처를 달고서 나를 걱정하는 상황이 어이없었다. 	어이없었다	의도한 상황임이 분명하게도 그는 어이없는 연기를 계속하며 우연이라고 떠들었다.	어이없는	그의 한결같고 오만한 태도는 나를 어이없게 만들었다. 	어이없게
염려하다	우리는 늘 서로를 염려하였다. 	염려하였다	염려하는 목소리가 달콤하게 느껴진다면, 내가 이기적인 걸까.	염려하는	그는 자신의 존재가 걸림돌이 될까 염려하여 살며시 집을 떠났다. 	염려하여	나를 염려하는 기색이라고는 찾아볼 수 없는 사람이랑 말할 의지는 없었다. 	염려하는	답장이 오지 않는 편지에도 그녀는 끝없이 염려하고 걱정하고 또 기다렸다.	염려하고	하나뿐인 가족을 염려하여 건넨 말들은 아무도에게도 닿지 않고 허공에서 흩어질 뿐이었다. 	염려하여
코웃음	순간이었지만, 분명 코웃음을 치며 쌩하니 가버렸다. 	코웃음을 치며	그녀는 내가 있다는 것도 모르는 채 코웃음을 지었다.	코웃음을 지었다	눈을 부라리고선 코웃음으로 빈정거렸다. 	코웃음	언젠가 후회하게 될 거라는 저주에 코웃음을 치곤 자리를 떴다.	코웃음	후계자가 쓰러져 오합지졸로 진행되는 회의가 자신이 원하는 대로 흘러가고 있다는 생각에 마스크 아래로 코웃음이 나왔다. 	코웃음	코웃음을 치며 할 만큼 했다는 듯 두 손을 들어 보였다. 	코웃음
죄송스럽다	나아가는 당신과 달리 저는 대단히 발전하는 모습을 보이지 못해 죄송스럽습니다.	죄송스럽습니다.	몹시 죄송스러워 이도 저도 하지 못하는 모습을 가만히 지켜보았다.	죄송스러워	자신의 무례에 대해 죄송스럽게 생각한다며 자취를 감추었다. 	죄송스럽게	그제서야 돌아본 자신의 죄목이 한없이 무거워보였고 죄송한 마음뿐이었다.	죄송한	뛰어다니느라 식사 약속을 잊은 아이의 눈가에는 죄송스러운 듯 눈물이 고여 있었다. 	죄송스러운	실망스럽게 만든 부분에 대해서 죄송하게 생각하고 있습니다. 	죄송하게
신나다	일상 속에서 잠시 일탈하여 취미를 즐길 생각에 몹시 신났다.	신났다	몇 개월 만의 소풍에 신난 모습을 보이는 아이가 안쓰럽기도 했다.	신난	카페로 들어오는 자신의 친구를 보고서는 신나게 앞치마를 벗었다. 	신나게	오랜만에 들어온 의뢰에 그 탐정은 몹시 신났다.	신났다	신난 마음을 가라앉히려고 노력하였으나 그 과정조차 즐겁게 느껴졌다.	신난	선물을 받고 신나하는 모습이 눈에 선해 빨리 돌아가고 싶은 마음뿐이었다.	신나하는
열광하다	사람들은 유명인의 가십거리에 열광한다.	열광한다	열광하는 관중들은 박수로 그들을 환영했다.	열광하는	짜릿했던 첫 성공은 나를 열광의 도가니에 몰아넣었다.	열광	사람들의 열광에 들뜬 발표자는 무리한 계획을 장대하게 늘어놓기 시작했다.	열광	원석을 발견했다는 듯 열광한 대중들의 눈이 반짝이며 빛났다. 	열광한	순식간에 추앙받으며 맛본 성공의 열광은 쉬이 가시질 않았다. 	열광
쾌감	한 순간에 유명해진 그는 낯선 타인이 호감을 갖고 다가오는 상황에 쾌감을 느꼈다. 	쾌감	우월감에서 비롯된 쾌감은 강한 중독성을 가지고 있다.	쾌감	선망하던 곳에 소속되었을 때의 쾌감은 쉬이 가시질 않았다.	쾌감	갑작스러운 방문에 당황하기를 잠시, 자신에게 굽실대는 사람을 보고 쾌감을 느꼈다.	쾌감	상대방의 논리에서 허점을 발견하고 그를 지적하며 쾌감을 느껴 토론 동아리에서 활발히 활동하였다.	쾌감	그는 순진하게도 하루아침에 유명인이 되어 느낀 쾌감이 언제까지나 계속될 거라고 믿었다. 	쾌감
흥나다	음악을 듣자 흥이 나 팔다리를 이리저리 흔들며 춤을 추기 시작했다. 	흥이 나다	흥나는 취미를 만들고 싶어 이것저것 경험해보는 중이다.	흥나는	본실력을 발휘할 만큼 흥날 만한 일은 잘 없어 무료했다.	흥날	작전이 성공하기만 한다면 귀중한 보물이 모두 제 것이라는 생각에 절로 흥이 났다. 	흥이 났다	시끌벅적한 술자리에 함께하고 있으면 흥이 오르기 마련이다.	흥이 오르기 	그는 과열되는 분위기에 흥이 올라 나의 손을 붙잡고 춤을 추기 시작했다. 	흥이 올라
안락하다	식물과 나무가 어우러진 생기있는 장소는 몹시 안락하다.	안락하다	안락한 보금자리를 구성함에 있어 가장 우선적인 건 나라는 사실이 좋았다.	안락한	안락하게 살아가고 싶었다는 말이 네 유언이었음을 깨달았다.	안락하게	무지는 무엇보다도 달콤하고 안락하기 마련이다. 	안락하기	그녀가 바쁜 일상을 마치고 돌아올 수 있는 안락한 보금자리가 기꺼이 되어주고 싶었다. 	안락한	이전에는 느끼지 못한 안락함이 나를 감쌌다. 	안락함
편안하다	조용한 집에 낮게 그르릉거리는 고양이의 존재가 더없이 편안하다. 	편안하다	편안한 일상 속에서 불안감이 차오를 때면 산책을 하곤 했다.	편안한	나를 아무것도 모르고 편안하게 살아갈 수 있게 만든 사람은 누구였지?	편안하게	오래된 친구와는 아무런 대화가 오가지 않아도 편안했다. 	편안했다	편안한 마음가짐으로 임하니 일이 술술 풀렸다. 	편안한	제가 한 짓이 모두 한 철의 꿈이라고 생각하는지 편안하게 눈을 감은 모습이었다. 	편안하게
편하다	때로는 눈 앞에 있는 작은 목표를 이루며 차근차근 나아가는 것이 편하다.	편하다	마음을 터놓을 만큼 편한 사람이 줄어드는 것이 서글프다고 생각했다.	편한	친구의 아무렇지 않은 태도는 되려 나를 편하게 만들어 준다. 	편하게	가만히 있기만 해도 제 눈치를 보며 설설 기는 상황은 편했다. 	편했다	그녀와 추억을 쌓고 안부를 나누는 편한 사이가 되고 싶었다. 	편한	마음을 편하게 먹으시고 천천히 이야기해보세요.	편하게
평안하다	몸은 힘들지언정 마음만은 평안하다.	평안하다	고요하고도 평안한 순간에서 벗어나기 싫어 핸드폰의 전원을 껐다. 	평안한	드물게 찾아오는 평안함을 깨트리고 싶지 않아 말을 삼켰다. 	평안	체념인지 평안인지 모를 깨달음이 문득 찾아왔다. 	평안	평안한 모습으로 헤어지고 싶었는데 뜻대로 되진 않는다며 힘없이 웃었다.	평안한	충격을 받아 기억을 잃었다더니 제가 한 짓은 다 잊은 듯 평안하게 웃고 있는 얼굴이 거슬렸다.	평안하게
평온하다	락스 냄새가 감도는 평일 아침의 수영장은 평온하다.	평온하다	그 상담사는 평온한 표정으로 횡설수설하는 나를 그저 받아주었다. 	평온한	이 곳 제주의 파도는 평온하게 다가옵니다. 	평온하게	지나친 평온은 때론 불행의 전조증상이 되기도 한다.	평온	후계자는 모든 재산을 사회에 환원하고 평온한 삶을 살아가길 원했다. 	평온한	따뜻한 차와 평온한 미소를 건네는 그녀를 보고 있으면 절로 차분해지는 것 같았다. 	평온한
